"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Motherson Sumi Systems","MOSS","Buy","Neutral","Strong Sell","Sell"
"Mphasis","MBFL","Strong Buy","Neutral","Neutral","Strong Buy"
"Muthoot Finance","MUTT","Strong Sell","Sell","Sell","Neutral"
"Natco Pharma","NATP","Sell","Neutral","Strong Sell","Sell"
"National Aluminum Co.","NALU","Strong Sell","Neutral","Strong Sell","Strong Sell"
"NBCC India","NBCC","Neutral","Strong Sell","Strong Sell","Strong Sell"
"NHPC","NHPC","Strong Sell","Neutral","Strong Sell","Strong Sell"
"NMDC","NMDC","Strong Sell","Strong Sell","Neutral","Strong Sell"
"NTPC","NTPC","Strong Sell","Strong Sell","Sell","Sell"
"Oberoi Realty","OEBO","Strong Sell","Strong Sell","Strong Sell","Sell"
"Oil & Natural Gas","ONGC","Strong Sell","Sell","Strong Sell","Strong Sell"
"Oil India","OILI","Strong Sell","Sell","Strong Sell","Strong Sell"
"Oracle","ORCL","Strong Sell","Strong Sell","Strong Sell","Buy"
"Page Industries","PAGE","Strong Sell","Strong Sell","Neutral","Strong Buy"
"PC Jeweller","PCJE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Petronet LNG","PLNG","Strong Sell","Strong Sell","Strong Sell","Sell"
"PI Industries","PIIL","Sell","Strong Buy","Neutral","Neutral"
"Pidilite Industries","PIDI","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Piramal Enterprises","PIRA","Strong Sell","Strong Sell","Strong Sell","Sell"
"PNB Housing Finance","PNBH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Power Finance","PWFC","Strong Sell","Buy","Sell","Strong Sell"
"Power Grid","PGRD","Strong Buy","Sell","Sell","Sell"
"Prestige Estates","PREG","Strong Buy","Sell","Strong Sell","Strong Sell"
"Procter&Gamble","PROC","Neutral","Strong Sell","Strong Sell","Neutral"
"Punjab National Bank","PNBK","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Rajesh Exports","REXP","Sell","Strong Sell","Strong Sell","Sell"
"RBL Bank","RATB","Strong Sell","Strong Buy","Neutral","Buy"
"Reliance Capital","RLCP","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Reliance Communications","RLCM","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Reliance Industries","RELI","Sell","Buy","Buy","Strong Buy"
"Reliance Infrastructure","RLIN","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Reliance Power","RPOL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Rural Electrification","RURL","Strong Sell","Neutral","Strong Sell","Strong Sell"
"SBI","SBI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Shree Cements","SHCM","Strong Sell","Strong Sell","Strong Sell","Sell"
"Shriram Transport","SRTR","Strong Sell","Strong Sell","Strong Sell","Sell"
"Siemens AG","SIEM","Strong Sell","Neutral","Strong Sell","Strong Sell"
"SRF","SRFL","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Steel Authority","SAIL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Sun Pharma","SUN","Strong Sell","Strong Sell","Sell","Strong Buy"
"Sun Pharma Adv. Research","SPRC","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Sun TV Network Ltd","SUTV","Strong Sell","Neutral","Strong Sell","Sell"
"Suzlon Energy","SUZL","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Syndicate Bank","SBNK","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Syngene International Ltd","SYNN","Strong Sell","Strong Sell","Sell","Strong Buy"
"Tata Chemicals","TTCH","Neutral","Neutral","Strong Sell","Buy"
